Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Strongly Opposed,I don't believe it adds cultural value to the city.,I think gambling can be detrimental to some people with addiction issues.,I'm skeptical about how much income it will generate for the surrounding areas.,F,35-44,Female,m6g
Strongly in Favour,Generates revenue,Increase tourism,Entertaining destination,F,45-54,Male,M1B
Strongly Opposed,"they are a tool to generate revenue, but it is often from communities/people who shouldn't be enticed to spend their money there.",,,T,45-54,Female,M3K
Strongly Opposed,Destroys the planet,Harms first nations people,Promotes sex trafficking,T,Prefer not to disclose,Transgendered,
Strongly in Favour,Money for the city to build SUBWAYS,Tourist attraction,Jobs,F,45-54,Male,M9R
Strongly Opposed,it does more harm than good,"more city dollars spent on rectifying programs, eg like smoking, eventually the city will suffer",peoples safety will be at risk,T,,,
Strongly Opposed,It will lower the standard in which Toronto has always upheld.,Toronto already has a problem with roadways. Entering and exiting the city is a problem on good days. The traffic on game nights already shows we could not handle any additional traffic.  The Gardner problem needs to be addressed and completed before any additional venues are added to Toronto.,Of course the issue of crime.  Does Toronto have enough money to hire more police staff?,T,,,
Strongly Opposed,"City is already too congested, and attracts enough tourists without needing a casino.",Casino will tempt those who have already overcome gambling addictions.,"Casino idolizes the god of money, not the One True God.",T,Prefer not to disclose,Prefer not to disclose,L4J
Strongly Opposed,casinos prey on poor people,they do harm,gambling is ugly,T,,,
Strongly Opposed,don't think we should be encouraging gambling,don't want a casino in our downtown,worry about the effect on the culture of the city,T,45-54,Female,M4S
Strongly Opposed,Impact on quality of my downtown neighborhood,Concern re. Negative social impacts gaming on economically vulnerable people,Potential for increase in criminal activity associated with industry that is lucrative for some,T,45-54,Female,M5J
Somewhat Opposed,increase in addiction,increase in crime,gambling does not align with my values,T,,,
Strongly in Favour,Create jobs in Toronto,Make Toronto a destination for new visitors and a longer stay for regulars,Give us a new Convention centre to become a world class meeting place,F,45-54,Male,
Strongly in Favour,creation of a world classs city,bringing density to the downtown core,using the casino as a catalyst for other business opportunities and generating revenue for city and other businesses,F,35-44,Male,L4C
Strongly Opposed,Gambling cause many social problems like family and,Organized crime often relate to gambling business/activities,,T,45-54,Male,L6B
Strongly Opposed,casinos take money fromnthe poorest,casinos are wasteful operations,there aremany other options,T,25-34,Female,m6j
Strongly Opposed,Crime and social problem associated with compulsive gambling.,Long-term impact on moral standards and values of the next generation.,There are already casinos in other locations in Southern Ontario that have less impact on majority of the residents and we should keep it that way.,T,45-54,Male,L4S
Strongly Opposed,Higher crimes rates and the result that higher crime rates will have on a safe Toronto.,Casinos are NOT family friendly.,The cost to society of gambling and addiction and crime far outweigh any benefits.,T,45-54,Female,M6H
Strongly Opposed,Existing downtown/general traffic congestion,"insufficient existing infrastructure to support extra traffic, people, parking","If located on waterfront, would add further buildings instead of open public space - would this negatively affect current waterfront planning.  Would refer to cities such as Montreal, Quebec, Halifax, Vancouver to demonstrate how well those cities have used their waterfront for public recreational use.",T,Prefer not to disclose,Female,M4M
Somewhat Opposed,Negative experiences visiting casinos in other cities,Concern for impact on urban fabric of any mega-development,Supporters of building a casino consistently use misleading numbers.,F,25-34,Male,M2K
Strongly Opposed,,,,T,45-54,Female,M2N
Strongly in Favour,Tourism,Economic activity,Revenue for the city,F,15-24,Male,M4S
Strongly Opposed,One more step in spreading social evil,Making a person addict,Ruining family,T,,,
Somewhat in Favour,Jobs,Tourism,,F,65 or older,Male,M1P
Strongly in Favour,Good for Toronto,Very profitable for city,Improves our image,F,65 or older,Female,M1B
Strongly Opposed,Crime,Transit issues in the proposed area,Gambling,T,25-34,Prefer not to disclose,M6J
Strongly in Favour,Money it will generate for the city.,Jobs it will create.,Fun for those who are responsible gamblers.,F,45-54,Female,M1M
Strongly Opposed,encourages too many gamlers,destroys historic lands,blight on landscape,T,65 or older,Female,L4S
Strongly Opposed,We have a casino in Niagara Falls,Casinos bring their own brand of troubles,Casinos aid in addictions to gambling and drinking,T,55-64,Female,M6J
Strongly in Favour,Increase tourism,Increase job force,Increase local business activity,F,45-54,Male,L9S
Strongly Opposed,,,,T,,,
Strongly Opposed,"Traffic problems and congestion, not just in downtown but in areas neighboring the casino",Attracts wrong kind of people,Stress on all other infrastructure,T,55-64,Male,M8Y
Strongly Opposed,"would like to see funding go to social programs, infastructure, city maitenance etc.","concerned about the values and behaviours associated with casinos i.e gambling, excessive drinking, drug use etc.","lacking any sort of community, environmental or social mandate. This is pure economics.",T,25-34,Female,M6R
Strongly Opposed,prefer to support other development initiatives,"already established casinos such as Rama, Fallsview",,T,45-54,Male,M1W
Strongly Opposed,"Toronto is a world class city and like New York and London, does not need a casino for success.",Casinos destroy downtown areas. See Atlantic City for example.,Toronto needs to think more strategically--to define itself as an arts and technology hub of the future,T,,,
Strongly Opposed,"There are so many other things we could do that are so much more meaningful, like building more open public spaces like Dundas Square.",Gambling can ruin the lives of more people than the people it's supposed to benefit,,T,,Female,
Strongly Opposed,unnecessary; will do more harm than good; disruptive before/ during/ after construction,big strain on infrastructure and transit/traffic and commercial & cultural interests in these areas,public health concerns as outlined in Toronto Public HealthPosition Statement--- Don't make it easier to gamble!,F,55-64,Female,M5V
Strongly Opposed,I do not think we need a casino.,I would rather that the space is used for more productive purposes.,Gambling is addictive for many people and ruins lives.,T,25-34,Female,M5R
Somewhat Opposed,Crime,"Who uses casonos, the people who can least afford it",Does it increase tourism?,T,65 or older,Male,M1H
Strongly Opposed,"Casinos and gambling in general cause harm to the most vulnerable people. (Many of whom, tend not to really appreciate how small their chances of winning really are.)","Whatever land is available for a casino development would be better used for public spaces (including recreation facilities, parks, community centres, cultural centres and affordable housing).","A casino will not help establish Toronto as a tourist destination. If people want to travel in order to gamble, they will not be choosing Toronto over Las Vegas, Atlantic City or Reno.",T,25-34,Male,M6K
Strongly Opposed,"a casino, especially in the core, will support and create new addicts to gambling, which is destructive to the individuals, their families and communities","look at vegas, there are so many repos happening. it will negatively effect Toronto by increasing it's poor and homeless people.","it will degrade the wellbeing of Toronto's city pulse by attracting gamblers to the city, some of which may be involved in crime or be driven to crime to support their growing gambling habits.",T,45-54,Female,M6J
